title,description,url,publishedAt
Watch: Moment India police unplug Ed Sheeran's street performance,The star was stopped from busking ahead of his concert in the southern Indian city of Bengaluru.,https://www.bbc.com/news/videos/c4g3ve3ll21o,2025-02-10T07:24:47Z
India v Pakistan: Cricket's ultimate grudge match in the desert,Sunday’s Champions Trophy clash in Dubai promises a charged atmosphere with strong fan presence on both sides.,https://www.bbc.com/news/articles/cly3llmg140o,2025-02-22T01:04:20Z
Jagtar Singh Johal acquitted of one charge in India terror case,The 37-year-old faces several terror charges in connection with political violence in the north of India.,https://www.bbc.com/news/articles/cq5z3zw7q8no,2025-03-04T10:47:59Z
'Bosh!' - Ball hits stumps but fails to dislodge bails,Australia's Steve Smith survives in the ICC Champions Trophy semi-final against India as a delivery from Axar Patel hits the stumps but doesn't dislodge the bails.,https://www.bbc.com/sport/cricket/videos/cn8r1rxp0pno,2025-03-04T10:19:50Z
Kohli smashes brilliant four to reach century and secure victory for India against Pakistan,"Virat Kohli ""hammers"" in a four to reach a century and secure India's win against Pakistan in their ICC Champions Trophy match in Dubai.",https://www.bbc.com/sport/cricket/articles/czdn45mynr7o,2025-02-23T16:39:51Z
Indian court orders release of Briton held without trial for years,Christian Michel has been held for six years in the high-profile AgustaWestland corruption case.,https://www.bbc.com/news/articles/crrdqp9y212o,2025-03-05T08:02:05Z
Head dropped in first over of semi-final,India's Mohammed Shami drops Australia opener Travis Head off his own bowling in the first over of the ICC Champions Trophy semi-final in Dubai.,https://www.bbc.com/sport/cricket/videos/c4g98xj95wxo,2025-03-04T09:23:03Z
British tourist dies trekking with friend in Himalayas,"The two British men were hiking in ""extremely difficult terrain"" when one reportedly fell.",https://www.bbc.com/news/articles/c62zr4pyn84o,2025-02-20T03:58:26Z
iPhone 16e Continues Apple's Transition to Manufacturing in India,"The iPhone 16e will join the four other iPhone 16 models in being made in India, Apple has revealed.







In a response to a query from India's Economic Times, Apple said that ""the entire ‌iPhone 16‌ lineup, including ‌iPhone 16e‌, is being assembled in Ind…",https://www.macrumors.com/2025/02/21/iphone-16e-made-in-india/,2025-02-21T17:17:28Z
Stokes considered as England white-ball captain,"England would be ""stupid"" not to consider Ben Stokes as a white-ball captain, says director of men's cricket Rob Key.",https://www.bbc.com/sport/cricket/articles/cjw267p2v0xo,2025-03-06T14:30:46Z
Meta plans to build the world's longest subsea cable that will connect the US to India,"Meta is planning a multibillion-dollar global underwater project spanning 31,000 miles, which would connect the US to India.",https://www.businessinsider.com/meta-largest-subsea-cable-us-india-ai-infrastructure-2025-2,2025-02-18T12:18:53Z
Modi and Trump's rapport may be tested as Indian prime minister visits Washington,"India's Prime Minister Narendra Modi, a nationalist criticized over India's democratic backsliding, has welcomed President Trump's return to the White House. India so far has been spared new tariffs.",https://www.npr.org/2025/02/12/g-s1-48391/modi-trump-india-tariffs,2025-02-12T15:42:21Z
India's prime minister has adopted a familiar slogan: 'Make India Great Again',"Indian PM Narendra Modi's comments come amid President Donald Trump's threat of ""reciprocal"" tariffs on US trading partners.",https://www.businessinsider.com/modi-pm-adopted-familiar-slogan-make-india-great-again-2025-2,2025-02-14T15:10:35Z
Stable Android 15 hits Moto G64 5G in regions like India,"While we await the stable Android 16 release, Motorola appears to be making its devices ready.",https://www.androidcentral.com/apps-software/android-15-stable-update-for-moto-g64-in-india,2025-03-07T19:47:19Z
Exposing an Indian pharma firm fuelling West Africa's opioid crisis,An Indian drug maker tells a BBC undercover team its addictive cocktail drug is “very harmful” but “this is business”.,https://www.bbc.com/news/articles/cwyew21yyjzo,2025-02-21T00:53:54Z
Mexico Is Threatening Google Over Ridiculous ‘Gulf of America’ Name Change,Mexican President Claudia Sheinbaum pointed out that the United States' claim to name the ocean area only applies for up to 12 nautical miles off its coastline.,https://gizmodo.com/mexico-is-threatening-google-over-ridiculous-gulf-of-america-name-change-2000565003,2025-02-18T19:15:53Z
"Almost a decade after Tesla first launched preorders for its cars in India, it's staffing up in the country","Tesla is hiring for 13 roles based in Mumbai, per listings on the company's careers page.",https://www.businessinsider.com/tesla-ramps-up-hiring-in-india-decade-after-launching-preorders-2025-2,2025-02-18T07:52:29Z
Microsoft is testing free Office for Windows apps with ads,"Microsoft has started testing a free version of Office for Windows that includes ads. Right now, you have to pay for a monthly Microsoft 365 subscription to get access to the full desktop version of Office, but Microsoft has been quietly testing an ad-support…",https://www.theverge.com/news/618278/microsoft-office-free-windows-apps-ad-supported-version,2025-02-25T09:58:17Z
Google makes it easier to remove your contact information from Search results,Google is making it easier to remove and update Search results that contain your personal information. The company’s “Results about you” tool for detecting personal information like addresses and phone numbers that appear in Search has been updated to make it…,https://www.theverge.com/news/619697/google-search-results-about-you-update,2025-02-26T13:40:16Z
"Opendoor Cuts Jobs in India, Shifts Technical Hiring To Bay Area and Krakow","Property group startup Opendoor has cut 65 jobs, mostly in India, and is shifting technical hiring to Bay Area and Krakow (Poland). 

Opendoor said in a statement: ""As part of our ongoing efforts to enhance efficiency, optimize talent, and streamline operatio…",https://slashdot.org/story/25/02/12/1742246/opendoor-cuts-jobs-in-india-shifts-technical-hiring-to-bay-area-and-krakow,2025-02-12T18:10:00Z
At least 18 people are dead after a stampede at New Delhi railway station in India,Many of the victims were Hindu pilgrims who were traveling to the Maha Kumbh festival in northern India. Thousands of people were gathered at the New Delhi railway station waiting to board a train.,https://www.npr.org/2025/02/16/g-s1-49248/stampede-at-new-delhi-railway-station,2025-02-16T06:23:45Z
"Nature inFocus Photography Awards 2024: Leopards, sharks and spiders",The winners of the Nature inFocus Photography Awards 2024 have been announced.,https://www.bbc.com/news/articles/cm2d8mrlp8vo,2025-02-22T01:02:36Z
Dozens found alive in metal containers after India avalanche,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_fbbbb0dd-76f1-4416-b46b-8e7fe847b193,2025-03-04T13:49:49Z
Dozens found alive in metal containers after India avalanche,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_e7bcffba-f123-4cdb-a29d-199b5c6fae3a,2025-03-03T07:18:56Z
"India Builds World’s Longest LPG Pipeline to Cut Costs, Mishaps",,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_de35fac7-511c-4259-86b5-64c10575cb60,2025-02-28T05:23:44Z
